5.704950000e+01 2.852475000e-02 2.474341264e-02 1.250000000e-02 -6.896551724e-03 0.10
5.744025000e+01 2.872012500e-02 2.462296869e-02 1.250000000e-02 -1.379310345e-02 0.50
5.626800000e+01 2.813400000e-02 2.457813031e-02 1.250000000e-02 6.896551724e-03 1.00
5.626800000e+01 2.813400000e-02 2.469866634e-02 1.250000000e-02 6.896551724e-03 2.00
5.431425000e+01 2.715712500e-02 2.493205939e-02 1.250000000e-02 4.137931034e-02 0.10
5.118825000e+01 2.559412500e-02 2.489760941e-02 1.250000000e-02 9.655172414e-02 0.50
4.024725000e+01 2.012362500e-02 2.487877646e-02 1.250000000e-02 2.896551724e-01 1.00
3.712125000e+01 1.856062500e-02 2.475392503e-02 1.250000000e-02 3.448275862e-01 2.00
5.509575000e+01 2.754787500e-02 2.479564232e-02 1.250000000e-02 2.758620690e-02 0.10
5.704950000e+01 2.852475000e-02 2.479658900e-02 1.250000000e-02 -6.896551724e-03 0.50
5.314200000e+01 2.657100000e-02 2.477423688e-02 1.250000000e-02 6.206896552e-02 1.00
4.415475000e+01 2.207737500e-02 2.425341836e-02 1.250000000e-02 2.206896552e-01 2.00
5.665875000e+01 2.832937500e-02 2.496341661e-02 1.250000000e-02 0.000000000e+00 0.10
5.626800000e+01 2.813400000e-02 2.476978763e-02 1.250000000e-02 6.896551724e-03 0.50
5.392350000e+01 2.696175000e-02 2.492256199e-02 1.250000000e-02 4.827586207e-02 1.00
4.728075000e+01 2.364037500e-02 2.487944548e-02 1.250000000e-02 1.655172414e-01 2.00
5.548650000e+01 2.774325000e-02 2.498485813e-02 1.250000000e-02 2.068965517e-02 0.10
5.353275000e+01 2.676637500e-02 2.466884534e-02 1.250000000e-02 5.517241379e-02 0.50
5.236050000e+01 2.618025000e-02 2.482501339e-02 1.250000000e-02 7.586206897e-02 1.00
5.118825000e+01 2.559412500e-02 2.456244641e-02 1.250000000e-02 9.655172414e-02 2.00
